insee,commune,departement,travail_insee,travail_commune,travail_departement,latitude,longitude,emplois,habitants,menages,pers_par_menages,unite_conso_menages,revenu_median,travail_latitude,travail_longitude,travail_emplois,distance_oiseau_km,distance_auto_km,duree_auto_minutes,distance_velo_km,duree_velo_minutes,2009,2014,2009_inter,2014_inter,2009_extra,2014_extra,2009_extra_travail_commune,extra_travail_commune_2014
12208,SAINT-AFFRIQUE,12,12203,ROQUEFORT-SUR-SOULZON,12,43.96566945,2.866531256,1144,8260,3734,7703,5500,19375,43.97069306,2.981761106,375,9.2,14.3,23,12.4,57,3142,3177,2243,2168,899,1009,200,264
12208,SAINT-AFFRIQUE,12,12145,MILLAU,12,43.96566945,2.866531256,1144,8260,3734,7703,5500,19375,44.09762522,3.117053841,3197,24.8,33.8,47,37.3,164,3142,3177,2243,2168,899,1009,139,160
12215,SAINT-CHRISTOPHE-VALLON,12,12202,RODEZ,12,44.47991295,2.396604559,63,1120,504,1167,795,20347,44.35824263,2.567279389,6303,19.2,23.1,26,24.3,110,500,554,164,151,337,403,109,121
12216,SAINT-COME-D'OLT,12,12096,ESPALION,12,44.53142152,2.8219082,143,1338,567,1211,860,20554,44.5188717,2.764266083,805,4.8,7.9,11,7.9,34,493,436,186,179,307,258,190,114
12217,SAINTE-CROIX,12,12300,VILLEFRANCHE-DE-ROUERGUE,12,44.41432066,1.968039081,43,725,300,697,479,18750,44.34991602,2.031032876,2096,8.7,10.6,14,10.0,45,336,316,96,96,240,220,168,108
12225,SAINT-GEORGES-DE-LUZENCON,12,12145,MILLAU,12,44.05655562,2.987143815,142,1546,662,1632,1086,19876,44.09762522,3.117053841,3197,11.3,14.6,24,16.3,73,693,601,257,143,437,458,231,248
12234,SAINTE-JULIETTE-SUR-VIAUR,12,12202,RODEZ,12,44.21863964,2.501139253,13,578,234,572,379,20766,44.35824263,2.567279389,6303,16.4,20.4,24,20.1,83,280,0,48,0,232,0,104,0
12241,SAINTE-RADEGONDE,12,12202,RODEZ,12,44.33130465,2.632729438,253,1759,691,1846,1206,24094,44.35824263,2.567279389,6303,6.0,8.4,14,7.1,32,834,797,164,146,670,650,394,337
12241,SAINTE-RADEGONDE,12,12176,ONET-LE-CHATEAU,12,44.33130465,2.632729438,253,1759,691,1846,1206,24094,44.38255309,2.56000835,2474,8.1,10.1,17,10.4,47,834,797,164,146,670,650,111,138
12254,SALLES-LA-SOURCE,12,12202,RODEZ,12,44.44378844,2.525095727,179,2204,849,2139,1423,22754,44.35824263,2.567279389,6303,10.1,12.7,17,13.3,55,948,975,164,229,784,746,380,337
12254,SALLES-LA-SOURCE,12,12176,ONET-LE-CHATEAU,12,44.44378844,2.525095727,179,2204,849,2139,1423,22754,44.38255309,2.56000835,2474,7.4,10.2,13,10.0,44,948,975,164,229,784,746,136,124
12259,SANVENSA,12,12300,VILLEFRANCHE-DE-ROUERGUE,12,44.2844998,2.040524255,15,667,274,640,437,18188,44.34991602,2.031032876,2096,7.3,11.8,17,10.0,53,0,279,0,90,0,189,0,115
