insee,commune,departement,travail_insee,travail_commune,travail_departement,latitude,longitude,emplois,habitants,menages,pers_par_menages,unite_conso_menages,revenu_median,travail_latitude,travail_longitude,travail_emplois,distance_oiseau_km,distance_auto_km,duree_auto_minutes,distance_velo_km,duree_velo_minutes,2009,2014,2009_inter,2014_inter,2009_extra,2014_extra,2009_extra_travail_commune,extra_travail_commune_2014
30225,SABRAN,30,30028,BAGNOLS-SUR-CEZE,30,44.15026163,4.551233464,72,1739,725,1726,1180,21946,44.16224967,4.624773809,2737,6.0,9.9,14,8.0,36,691,839,127,164,564,675,274,302
30226,SAINT-ALEXANDRE,30,30202,PONT-SAINT-ESPRIT,30,44.22394472,4.631701359,97,1154,464,1197,790,22387,44.25266371,4.639019458,994,3.2,4.3,9,4.1,17,490,0,82,0,408,0,110,0
30227,SAINT-AMBROIX,30,30007,ALES,30,44.25245837,4.194185732,362,3176,1574,3237,2323,16622,44.12500991,4.088285013,6385,16.5,19.8,31,20.6,92,1012,910,484,427,528,483,160,249
30228,SAINTE-ANASTASIE,30,30189,NIMES,30,43.93191201,4.342021996,73,1670,648,1683,1113,20185,43.84493839,4.34806797,22719,9.7,18.2,24,15.0,63,682,721,138,155,544,566,264,245
30233,SAINT-BAUZELY,30,30189,NIMES,30,43.92199661,4.192185944,54,578,220,576,375,18571,43.84493839,4.34806797,22719,15.2,18.1,25,17.5,77,231,272,58,69,173,203,119,109
30241,SAINT-CHAPTES,30,30189,NIMES,30,43.96760066,4.27481954,159,1844,732,1820,1204,18892,43.84493839,4.34806797,22719,14.9,18.6,21,18.5,75,729,771,220,229,509,542,296,250
30243,SAINT-CHRISTOL-LES-ALES,30,30007,ALES,30,44.08378546,4.076650068,641,6951,3042,7324,4954,18107,44.12500991,4.088285013,6385,4.7,6.3,12,5.9,26,2228,2495,588,782,1640,1713,828,852
30243,SAINT-CHRISTOL-LES-ALES,30,30189,NIMES,30,44.08378546,4.076650068,641,6951,3042,7324,4954,18107,43.84493839,4.34806797,22719,34.3,41.8,36,41.4,182,2228,2495,588,782,1640,1713,180,121
30245,SAINT-COME-ET-MARUEJOLS,30,30189,NIMES,30,43.83117176,4.188225289,26,765,309,794,527,21266,43.84493839,4.34806797,22719,12.9,21.4,29,16.7,75,366,392,62,63,304,329,160,198
30249,SAINT-DIONISY,30,30189,NIMES,30,43.80461376,4.223326897,92,1001,372,986,645,22790,43.84493839,4.34806797,22719,11.0,15.1,25,14.4,63,411,442,81,82,331,360,177,143
30253,SAINT-FLORENT-SUR-AUZONNET,30,30007,ALES,30,44.23740031,4.106946451,28,1231,586,1203,857,16450,44.12500991,4.088285013,6385,12.6,18.9,29,19.2,85,307,0,65,0,243,0,105,0
30254,SAINT-GENIES-DE-COMOLAS,30,84007,AVIGNON,84,44.06573493,4.731241859,68,1874,756,1953,1288,19425,43.93524483,4.840715725,18441,17.0,30.6,39,24.7,110,772,786,104,164,668,622,176,130
30255,SAINT-GENIES-DE-MALGOIRES,30,30189,NIMES,30,43.94623194,4.213171496,257,2959,1135,2898,1895,17594,43.84493839,4.34806797,22719,15.6,19.8,22,18.9,85,1116,1179,320,319,797,860,418,347
