commune;insee;total_personne_entrante;total_personne_partante;Balance;;km_parcourut_entrant;km_parcourut_partant;Balance_des_km_parcourut;total_emissionCO2_km_entrant;CO2_km;emissionCO2_km_sortant;emissionCO2_km_balance_km_total;total_des_revenus_medians_des_communes_entrantes;total_des_revenus_medians_des_communes_entrantes;balance_des_revenus_medians;km_moyen_par_les_partants;km_moyen_par_les_entrants;Balance_deskm_parEnt_Sor;emissionCO2_km_total_km_partant;emissionCO2_km_total_km_entrant;emissionCO2_km_balance;Minute_emi_par_km;total_min_emi;total_min_immi;total_balance_min;taux_emploi;emplois;habitants;menages;pers_par_menages;unite_conso_menages;revenu_median;Nombre_actifs_2015;inter_voiture;extra_voiture;extra_sansvoiture;avec voiture ;sansvoiture;Inter_voiture_ternary;extra_voiture_ternary;sansvoiture_ternary;2015_extra_csp1;2015_extra_csp2;2015_extra_csp3;cadre_extra_ternary;inter_extra_ternary;ouvrier_extra_ternary;2015_inter_csp1;2015_inter_csp2;2015_inter_csp3;cadre_intra_ternary;inter_intra_ternary;ouvrier_intra_ternary;INTRA_CADRE;OUVRIER_INTRA
MONTAUD;34164;0;0;0;;0;30;-30;0;;4050;-4050;0;22857;22857;0;0;0;0;0;0;#DIV/0!;16.5;0;16.5;42.55102041;19;980;362;946;618;22857;417;40;347;30;92.8057554;7.194244604;9.592326139;83.21342926;7.194244604;110;145;105;30.55555556;40.27777778;29.16666667;946;40;10;94.97991968;4.016064257;1.004016064;CADRE_EN_MASSE;FAUX
GAURE;31215;0;0;0;;0;29;-29;0;;3915;-3915;0;25755;25755;0;0;0;0;0;0;#DIV/0!;17.5;0;17.5;47.69539078;26;499;183;494;322;25755;238;45;147;46;80.67226891;19.32773109;18.90756303;61.76470588;19.32773109;65;20;85;38.23529412;11.76470588;50;494;45;5;90.80882353;8.272058824;0.919117647;CADRE_EN_MASSE;OUVRIER_EN_MASSE
ONDES;31403;0;0;0;;0;29;-29;0;;3915;-3915;0;22888;22888;0;0;0;0;0;0;#DIV/0!;16;0;16;47.36091298;121;701;274;679;451;22888;332;29;225;78;76.5060241;23.4939759;8.734939759;67.77108434;23.4939759;49;80;134;18.63117871;30.41825095;50.95057034;679;28;16;93.9142462;3.87275242;2.213001383;CADRE_EN_MASSE;OUVRIER_EN_MASSE
PRAYSSAC;46225;0;0;0;;0;29;-29;0;;3915;-3915;0;19978;19978;0;0;0;0;0;0;#DIV/0!;18.5;0;18.5;29.81192477;340;2499;1224;2419;1774;19978;745;301;255;189;74.63087248;25.36912752;40.40268456;34.22818792;25.36912752;35;96;162;11.94539249;32.76450512;55.29010239;2419;151;224;86.57838225;5.404438082;8.017179671;CADRE_EN_MASSE;OUVRIER_EN_MASSE
AIGREMONT;30002;0;0;0;;0;29;-29;0;;3915;-3915;0;19080;19080;0;0;0;0;0;0;#DIV/0!;14.5;0;14.5;41.95323246;15;727;283;724;478;19080;305;20;260;25;91.80327869;8.196721311;6.557377049;85.24590164;8.196721311;30;105;135;11.11111111;38.88888889;50;724;25;10;95.3886693;3.293807642;1.317523057;CADRE_EN_MASSE;OUVRIER_EN_MASSE
ODARS;31402;0;0;0;;0;28;-28;0;;3780;-3780;0;27200;27200;0;0;0;0;0;0;#DIV/0!;18;0;18;48.56429463;31;801;321;890;574;27200;389;27;326;37;90.51282051;9.487179487;6.923076923;83.58974359;9.487179487;166;121;46;49.84984985;36.33633634;13.81381381;890;53;0;94.37963945;5.620360551;0;CADRE_EN_MASSE;FAUX
MONTRICOUX;82132;0;0;0;;0;28;-28;0;;3780;-3780;0;18967;18967;0;0;0;0;0;0;#DIV/0!;15.5;0;15.5;33.50739774;51;1149;491;1119;766;18967;385;70;240;75;80.51948052;19.48051948;18.18181818;62.33766234;19.48051948;15;100;150;5.660377358;37.73584906;56.60377358;1119;60;50;91.04963385;4.882017901;4.068348251;CADRE_EN_MASSE;OUVRIER_EN_MASSE
SAINTE-VALIERE;11366;0;0;0;;0;28;-28;0;;3780;-3780;0;17027;17027;0;0;0;0;0;0;#DIV/0!;18;0;18;35.07853403;13;573;240;552;378;17027;201;40;136;25;87.56218905;12.43781095;19.90049751;67.66169154;12.43781095;10;35;100;6.896551724;24.13793103;68.96551724;552;35;15;91.69435216;5.813953488;2.491694352;CADRE_EN_MASSE;OUVRIER_EN_MASSE
ALIGNAN-DU-VENT;34009;0;0;0;;0;27;-27;0;;3645;-3645;0;37980;37980;0;0;0;0;0;0;#DIV/0!;10.66666667;0;10.66666667;37.039239;67;1682;729;1730;1174;18990;623;111;400;111;82.15434084;17.84565916;17.84565916;64.30868167;17.84565916;60;105;252;14.38848921;25.17985612;60.43165468;1730;115;50;91.29287599;6.068601583;2.638522427;CADRE_EN_MASSE;OUVRIER_EN_MASSE
RIGNAC;12199;0;0;0;;0;26;-26;0;;3510;-3510;0;19686;19686;0;0;0;0;0;0;#DIV/0!;12.5;0;12.5;38.27877508;293;1894;801;1781;1235;19686;725;223;364;137;81.07734807;18.92265193;30.80110497;50.27624309;18.92265193;40;150;183;10.72386059;40.21447721;49.0616622;1781;152;153;85.37871524;7.286673058;7.334611697;CADRE_EN_MASSE;OUVRIER_EN_MASSE
GARRIGUES-SAINTE-EULALIE;30126;0;0;0;;0;25;-25;0;;3375;-3375;0;21504;21504;0;0;0;0;0;0;#DIV/0!;14.5;0;14.5;41.24668435;24;754;291;711;478;21504;311;51;219;41;86.81672026;13.18327974;16.39871383;70.41800643;13.18327974;50;121;71;20.66115702;50;29.33884298;711;30;20;93.42969777;3.94218134;2.628120894;CADRE_EN_MASSE;OUVRIER_EN_MASSE
DOMESSARGUES;30104;0;0;0;;0;24;-24;0;;3240;-3240;0;19944;19944;0;0;0;0;0;0;#DIV/0!;12.5;0;12.5;39.94038748;25;671;241;687;435;19944;268;25;212;30;88.76404494;11.23595506;9.36329588;79.40074906;11.23595506;35;70;130;14.89361702;29.78723404;55.31914894;687;10;15;96.48876404;1.404494382;2.106741573;CADRE_EN_MASSE;OUVRIER_EN_MASSE
MIREPEISSET;11233;0;0;0;;0;24;-24;0;;3240;-3240;0;18258;18258;0;0;0;0;0;0;#DIV/0!;16.5;0;16.5;37.79840849;38;754;309;765;511;18258;285;40;210;35;87.71929825;12.28070175;14.03508772;73.68421053;12.28070175;40;45;130;18.60465116;20.93023256;60.46511628;765;25;40;92.1686747;3.012048193;4.819277108;CADRE_EN_MASSE;OUVRIER_EN_MASSE
LIRAC;30149;0;0;0;;0;23;-23;0;;3105;-3105;0;20700;20700;0;0;0;0;0;0;#DIV/0!;19;0;19;45.72072072;32;888;363;901;602;20700;406;56;159;191;52.95566502;47.04433498;13.79310345;39.16256158;47.04433498;84;125;117;25.76687117;38.34355828;35.88957055;901;36;32;92.98245614;3.715170279;3.302373581;CADRE_EN_MASSE;OUVRIER_EN_MASSE
BADENS;11023;0;0;0;;0;22;-22;0;;2970;-2970;0;18282;18282;0;0;0;0;0;0;#DIV/0!;16.5;0;16.5;39.02132999;68;797;273;678;453;18282;311;69;212;30;90.35369775;9.646302251;22.18649518;68.16720257;9.646302251;40;65;110;18.60465116;30.23255814;51.1627907;678;28;40;90.8847185;3.753351206;5.361930295;CADRE_EN_MASSE;OUVRIER_EN_MASSE
TERRATS;66207;0;0;0;;0;21;-21;0;;2835;-2835;0;18061;18061;0;0;0;0;0;0;#DIV/0!;15.5;0;15.5;38.2848392;28;653;274;649;440;18061;250;30;205;15;94;6;12;82;6;30;75;100;14.63414634;36.58536585;48.7804878;649;15;20;94.88304094;2.192982456;2.923976608;CADRE_EN_MASSE;OUVRIER_EN_MASSE
AUTIGNAC;34018;0;0;0;;0;21;-21;0;;2835;-2835;0;18415;18415;0;0;0;0;0;0;#DIV/0!;12;0;12;37.96192609;48;893;395;923;631;18415;339;69;197;74;78.23529412;21.76470588;20.29411765;57.94117647;21.76470588;30;85;105;13.63636364;38.63636364;47.72727273;923;35;70;89.78599222;3.404669261;6.809338521;CADRE_EN_MASSE;OUVRIER_EN_MASSE
SAINTE-JULIETTE-SUR-VIAUR;12234;0;0;0;;0;20;-20;0;;2700;-2700;0;20766;20766;0;0;0;0;0;0;#DIV/0!;12;0;12;46.36678201;13;578;234;572;379;20766;268;25;228;15;94.40298507;5.597014925;9.328358209;85.07462687;5.597014925;15;85;126;6.637168142;37.61061947;55.75221239;572;25;15;93.46405229;4.08496732;2.450980392;CADRE_EN_MASSE;OUVRIER_EN_MASSE
SAINT-GERMAIN-DES-PRES;81251;0;0;0;;0;20;-20;0;;2700;-2700;0;20076;20076;0;0;0;0;0;0;#DIV/0!;11.5;0;11.5;33.03769401;30;902;324;891;573;20076;298;50;233;15;94.96644295;5.033557047;16.77852349;78.18791946;5.033557047;25;90;125;10.41666667;37.5;52.08333333;891;15;35;94.68650372;1.594048884;3.719447396;CADRE_EN_MASSE;OUVRIER_EN_MASSE
DALOU;9104;0;0;0;;0;20;-20;0;;2700;-2700;0;20626;20626;0;0;0;0;0;0;#DIV/0!;9;0;9;39.44223108;10;753;316;779;524;20626;297;45;233;20;93.2885906;6.711409396;15.10067114;78.18791946;6.711409396;40;75;135;16;30;54;779;20;20;95.11599512;2.442002442;2.442002442;CADRE_EN_MASSE;OUVRIER_EN_MASSE
ORNAISONS;11267;0;0;0;;0;20;-20;0;;2700;-2700;0;18093;18093;0;0;0;0;0;0;#DIV/0!;13;0;13;35.2148273;89;1187;514;1162;804;18093;418;116;181;121;71.05263158;28.94736842;27.75119617;43.30143541;28.94736842;30;30;139;15.07537688;15.07537688;69.84924623;1162;70;110;86.58718331;5.21609538;8.196721311;CADRE_EN_MASSE;OUVRIER_EN_MASSE
DOMAZAN;30103;0;0;0;;0;20;-20;0;;2700;-2700;0;21141;21141;0;0;0;0;0;0;#DIV/0!;16;0;16;49.94523549;273;913;357;865;580;21141;456;80;165;211;53.72807018;46.27192982;17.54385965;36.18421053;46.27192982;54;134;148;16.07142857;39.88095238;44.04761905;865;45;35;91.53439153;4.761904762;3.703703704;CADRE_EN_MASSE;OUVRIER_EN_MASSE
MANHAC;12137;0;0;0;;0;19;-19;0;;2565;-2565;0;20325;20325;0;0;0;0;0;0;#DIV/0!;12.5;0;12.5;55.16795866;42;774;286;791;500;20325;427;41;334;52;87.82201405;12.17798595;9.601873536;78.22014052;12.17798595;20;102;215;5.934718101;30.26706231;63.79821958;791;51;25;91.23414072;5.882352941;2.883506344;CADRE_EN_MASSE;OUVRIER_EN_MASSE
GUITALENS-L'ALBAREDE;81132;0;0;0;;0;19;-19;0;;2565;-2565;0;18574;18574;0;0;0;0;0;0;#DIV/0!;10;0;10;38.75432526;69;867;368;908;603;18574;336;45;226;65;80.6547619;19.3452381;13.39285714;67.26190476;19.3452381;45;55;145;18.36734694;22.44897959;59.18367347;908;40;45;91.44008056;4.028197382;4.531722054;CADRE_EN_MASSE;OUVRIER_EN_MASSE
SAINT-FLORENT-SUR-AUZONNET;30253;0;0;0;;0;19;-19;0;;2565;-2565;0;16450;16450;0;0;0;0;0;0;#DIV/0!;14.5;0;14.5;24.77660439;28;1231;586;1203;857;16450;305;62;207;36;88.19672131;11.80327869;20.32786885;67.86885246;11.80327869;20;91;101;9.433962264;42.9245283;47.64150943;1203;40;41;93.69158879;3.115264798;3.193146417;CADRE_EN_MASSE;OUVRIER_EN_MASSE
PUYCORNET;82144;0;0;0;;0;19;-19;0;;2565;-2565;0;18761;18761;0;0;0;0;0;0;#DIV/0!;12;0;12;40.27586207;21;725;276;668;449;18761;292;66;181;45;84.5890411;15.4109589;22.60273973;61.98630137;15.4109589;28;57;94;15.6424581;31.84357542;52.51396648;668;53;41;87.66404199;6.955380577;5.380577428;CADRE_EN_MASSE;OUVRIER_EN_MASSE
ISPAGNAC;48075;0;0;0;;0;18;-18;0;;2430;-2430;0;19177;19177;0;0;0;0;0;0;#DIV/0!;13;0;13;42.04545455;93;880;381;783;560;19177;370;115;195;60;83.78378378;16.21621622;31.08108108;52.7027027;16.21621622;45;65;85;23.07692308;33.33333333;43.58974359;783;90;60;83.92282958;9.646302251;6.430868167;CADRE_EN_MASSE;OUVRIER_EN_MASSE
LACROUZETTE;81128;0;0;0;;0;18;-18;0;;2430;-2430;0;19727;19727;0;0;0;0;0;0;#DIV/0!;11.5;0;11.5;39.17525773;389;1746;708;1710;1163;19727;684;340;255;90;86.86131387;13.13868613;49.6350365;37.22627737;13.13868613;15;120;140;5.454545455;43.63636364;50.90909091;1710;140;230;82.21153846;6.730769231;11.05769231;CADRE_EN_MASSE;OUVRIER_EN_MASSE
CASTELNAU-BARBARENS;32076;0;0;0;;0;17;-17;0;;2295;-2295;0;19447;19447;0;0;0;0;0;0;#DIV/0!;11.5;0;11.5;47.7582846;25;513;220;516;350;19447;245;54;162;29;88.16326531;11.83673469;22.04081633;66.12244898;11.83673469;55;35;85;31.42857143;20;48.57142857;516;45;20;88.81239243;7.745266781;3.442340792;CADRE_EN_MASSE;OUVRIER_EN_MASSE
TARASCON-SUR-ARIEGE;9306;0;0;0;;0;17;-17;0;;2295;-2295;0;17172;17172;0;0;0;0;0;0;#DIV/0!;7;0;7;28.71763998;589;3322;1380;2905;2062;17172;954;254;461;238;75.02623295;24.97376705;26.65267576;48.37355719;24.97376705;51;162;296;10.01964637;31.82711198;58.15324165;2905;127;277;87.79087338;3.838017528;8.371109096;CADRE_EN_MASSE;OUVRIER_EN_MASSE
LANUEJOLS;48081;0;0;0;;0;16;-16;0;;2160;-2160;0;21781;21781;0;0;0;0;0;0;#DIV/0!;14;0;14;48.87459807;22;311;112;282;186;21781;152;20;118;15;90.19607843;9.803921569;13.07189542;77.12418301;9.803921569;45;40;50;33.33333333;29.62962963;37.03703704;282;5;15;93.37748344;1.655629139;4.966887417;CADRE_EN_MASSE;OUVRIER_EN_MASSE
MONTREJEAU;31390;0;0;0;;0;16;-16;0;;2160;-2160;0;16795;16795;0;0;0;0;0;0;#DIV/0!;9.5;0;9.5;28.89972145;489;2872;1336;2619;1900;16795;830;232;399;199;76.02409639;23.97590361;27.95180723;48.07228916;23.97590361;48;180;232;10.43478261;39.13043478;50.43478261;2619;92;228;89.11194284;3.130316434;7.757740728;CADRE_EN_MASSE;OUVRIER_EN_MASSE
SAINT-JEAN-LE-COMTAL;32381;0;0;0;;0;16;-16;0;;2160;-2160;0;20596;20596;0;0;0;0;0;0;#DIV/0!;8;0;8;45.75;12;400;159;411;271;20596;183;30;144;10;94.56521739;5.434782609;16.30434783;78.26086957;5.434782609;5;65;75;3.448275862;44.82758621;51.72413793;411;30;10;91.1308204;6.651884701;2.2172949;CADRE_EN_MASSE;OUVRIER_EN_MASSE
CORNILLON;30096;0;0;0;;0;15;-15;0;;2025;-2025;0;20710;20710;0;0;0;0;0;0;#DIV/0!;8;0;8;33.51293103;141;928;351;859;576;20710;311;65;156;90;71.06109325;28.93890675;20.90032154;50.1607717;28.93890675;30;55;105;15.78947368;28.94736842;55.26315789;859;45;75;87.74259448;4.596527068;7.660878447;CADRE_EN_MASSE;OUVRIER_EN_MASSE
MOUZIEYS-TEULET;81190;0;0;0;;0;13;-13;0;;1755;-1755;0;19775;19775;0;0;0;0;0;0;#DIV/0!;9.5;0;9.5;52.13483146;18;445;177;467;304;19775;232;14;177;41;82.32758621;17.67241379;6.034482759;76.29310345;17.67241379;34;42;119;17.43589744;21.53846154;61.02564103;467;37;5;91.74852652;7.269155206;0.982318271;CADRE_EN_MASSE;OUVRIER_EN_MASSE
MERCUS-GARRABET;9188;0;0;0;;0;13;-13;0;;1755;-1755;0;19013;19013;0;0;0;0;0;0;#DIV/0!;8;0;8;41.52097902;65;1144;512;1187;814;19013;475;73;354;48;89.89473684;10.10526316;15.36842105;74.52631579;10.10526316;50;131;194;13.33333333;34.93333333;51.73333333;1187;45;44;93.02507837;3.526645768;3.448275862;CADRE_EN_MASSE;OUVRIER_EN_MASSE
VILLENEUVE-LECUSSAN;31586;0;0;0;;0;13;-13;0;;1755;-1755;0;20806;20806;0;0;0;0;0;0;#DIV/0!;9;0;9;40.4293381;5;559;222;532;361;20806;226;20;186;20;91.15044248;8.849557522;8.849557522;82.30088496;8.849557522;35;40;133;16.82692308;19.23076923;63.94230769;532;15;5;96.37681159;2.717391304;0.905797101;CADRE_EN_MASSE;OUVRIER_EN_MASSE
MOUCHAN;32292;0;0;0;;0;13;-13;0;;1755;-1755;0;18071;18071;0;0;0;0;0;0;#DIV/0!;8.5;0;8.5;48.40182648;25;438;181;423;291;18071;212;31;155;26;87.73584906;12.26415094;14.62264151;73.11320755;12.26415094;15;51;99;9.090909091;30.90909091;60;423;25;15;91.36069114;5.399568035;3.239740821;CADRE_EN_MASSE;OUVRIER_EN_MASSE
VERZEILLE;11408;0;0;0;;0;12;-12;0;;1620;-1620;0;18655;18655;0;0;0;0;0;0;#DIV/0!;9.5;0;9.5;37.55364807;31;466;188;436;294;18655;175;5;160;10;94.28571429;5.714285714;2.857142857;91.42857143;5.714285714;20;50;98;11.9047619;29.76190476;58.33333333;436;0;10;97.75784753;0;2.242152466;CADRE_EN_MASSE;OUVRIER_EN_MASSE
BENAC;65080;0;0;0;;0;12;-12;0;;1620;-1620;0;21541;21541;0;0;0;0;0;0;#DIV/0!;10;0;10;40.72657744;46;523;210;524;350;21541;213;15;183;15;92.95774648;7.042253521;7.042253521;85.91549296;7.042253521;25;85;80;13.15789474;44.73684211;42.10526316;524;5;15;96.32352941;0.919117647;2.757352941;CADRE_EN_MASSE;OUVRIER_EN_MASSE
GARGANVILLAR;82063;0;0;0;;0;12;-12;0;;1620;-1620;0;18306;18306;0;0;0;0;0;0;#DIV/0!;8.5;0;8.5;39.61424332;27;674;242;646;417;18306;267;25;205;37;86.1423221;13.8576779;9.36329588;76.77902622;13.8576779;24;60;136;10.90909091;27.27272727;61.81818182;646;24;12;94.72140762;3.519061584;1.759530792;CADRE_EN_MASSE;OUVRIER_EN_MASSE
SAINT-FELIX-LAURAGAIS;31478;0;0;0;;0;11;-11;0;;1485;-1485;0;19908;19908;0;0;0;0;0;0;#DIV/0!;6;0;6;36.77269201;121;1289;546;1297;886;19908;474;96;313;66;86.10526316;13.89473684;20.21052632;65.89473684;13.89473684;75;90;165;22.72727273;27.27272727;50;1297;60;50;92.18194741;4.264392324;3.55366027;CADRE_EN_MASSE;OUVRIER_EN_MASSE
SERRES-SUR-ARGET;9293;0;0;0;;0;11;-11;0;;1485;-1485;0;19896;19896;0;0;0;0;0;0;#DIV/0!;8.5;0;8.5;31.70731707;34;779;332;723;507;19896;247;33;192;22;91.09311741;8.906882591;13.36032389;77.73279352;8.906882591;25;101;64;13.15789474;53.15789474;33.68421053;723;5;31;95.256917;0.658761528;4.084321476;CADRE_EN_MASSE;OUVRIER_EN_MASSE
LANZAC;46153;0;0;0;;0;11;-11;0;;1485;-1485;0;19468;19468;0;0;0;0;0;0;#DIV/0!;8;0;8;38.07189542;6;612;262;602;417;19468;233;30;132;71;69.527897;30.472103;12.87553648;56.65236052;30.472103;45;65;75;24.32432432;35.13513514;40.54054054;602;25;5;95.25316456;3.955696203;0.791139241;CADRE_EN_MASSE;OUVRIER_EN_MASSE
DEAUX;30101;0;0;0;;0;11;-11;0;;1485;-1485;0;19797;19797;0;0;0;0;0;0;#DIV/0!;8.5;0;8.5;37.22304284;23;677;248;634;418;19797;252;57;175;21;91.69960474;8.300395257;22.52964427;69.16996047;8.300395257;40;71;76;21.39037433;37.96791444;40.64171123;634;35;15;92.69005848;5.116959064;2.192982456;CADRE_EN_MASSE;OUVRIER_EN_MASSE
POINTIS-INARD;31427;0;0;0;;0;11;-11;0;;1485;-1485;0;18719;18719;0;0;0;0;0;0;#DIV/0!;8;0;8;33.44671202;19;882;410;931;639;18719;295;64;216;15;94.91525424;5.084745763;21.69491525;73.22033898;5.084745763;10;80;139;4.366812227;34.93449782;60.69868996;931;30;40;93.00699301;2.997002997;3.996003996;CADRE_EN_MASSE;OUVRIER_EN_MASSE
LAPANOUSE;12123;0;0;0;;0;10;-10;0;;1350;-1350;0;19238;19238;0;0;0;0;0;0;#DIV/0!;6.5;0;6.5;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
SAINT-SEBASTIEN-D'AIGREFEUILLE;30298;0;0;0;;0;10;-10;0;;1350;-1350;0;19866;19866;0;0;0;0;0;0;#DIV/0!;11.5;0;11.5;44.02985075;12;536;215;483;338;19866;236;58;121;58;75.52742616;24.47257384;24.47257384;51.05485232;24.47257384;25;56;61;17.6056338;39.43661972;42.95774648;483;40;20;88.95027624;7.366482505;3.683241252;CADRE_EN_MASSE;OUVRIER_EN_MASSE
BRENOUX;48030;0;0;0;;0;10;-10;0;;1350;-1350;0;20855;20855;0;0;0;0;0;0;#DIV/0!;8.5;0;8.5;46.79144385;9;374;148;377;248;20855;175;20;135;20;88.57142857;11.42857143;11.42857143;77.14285714;11.42857143;10;60;70;7.142857143;42.85714286;50;377;25;0;93.78109453;6.218905473;0;CADRE_EN_MASSE;OUVRIER_EN_MASSE
ISSENDOLUS;46132;0;0;0;;0;10;-10;0;;1350;-1350;0;19432;19432;0;0;0;0;0;0;#DIV/0!;8.5;0;8.5;41.92913386;7;508;220;504;347;19432;213;48;146;20;90.65420561;9.345794393;22.42990654;68.22429907;9.345794393;20;48;92;12.5;30;57.5;504;24;24;91.30434783;4.347826087;4.347826087;CADRE_EN_MASSE;OUVRIER_EN_MASSE
RIMEIZE;48128;0;0;0;;0;9;-9;0;;1215;-1215;0;20154;20154;0;0;0;0;0;0;#DIV/0!;6;0;6;56.02094241;19;573;249;615;415;20154;321;44;247;30;90.65420561;9.345794393;13.70716511;76.9470405;9.345794393;25;99;144;9.328358209;36.94029851;53.73134328;615;50;5;91.79104478;7.462686567;0.746268657;CADRE_EN_MASSE;OUVRIER_EN_MASSE
CASTELMAYRAN;82031;0;0;0;;0;8;-8;0;;1080;-1080;0;17487;17487;0;0;0;0;0;0;#DIV/0!;6.5;0;6.5;40.85106383;63;1175;431;1108;725;17487;480;45;331;104;78.33333333;21.66666667;9.375;68.95833333;21.66666667;50;100;195;14.49275362;28.98550725;56.52173913;1108;65;65;89.49919225;5.250403877;5.250403877;CADRE_EN_MASSE;OUVRIER_EN_MASSE
GANAC;9130;0;0;0;;0;8;-8;0;;1080;-1080;0;20916;20916;0;0;0;0;0;0;#DIV/0!;12;0;12;34.25253991;5;689;309;685;478;20916;236;28;188;20;91.52542373;8.474576271;11.86440678;79.66101695;8.474576271;32;60;104;16.32653061;30.6122449;53.06122449;685;20;8;96.07293128;2.805049088;1.122019635;CADRE_EN_MASSE;OUVRIER_EN_MASSE
LAMAGISTERE;82089;0;0;0;;0;8;-8;0;;1080;-1080;0;16259;16259;0;0;0;0;0;0;#DIV/0!;5;0;5;38.66666667;68;1125;498;1138;772;16259;435;74;193;168;61.37931034;38.62068966;17.01149425;44.36781609;38.62068966;35;105;175;11.11111111;33.33333333;55.55555556;1138;45;60;91.55269509;3.620273532;4.827031376;CADRE_EN_MASSE;OUVRIER_EN_MASSE
SARROUILLES;65410;0;0;0;;0;8;-8;0;;1080;-1080;0;22887;22887;0;0;0;0;0;0;#DIV/0!;8.5;0;8.5;42.98892989;10;542;225;524;363;22887;233;10;178;46;80.34188034;19.65811966;4.273504274;76.06837607;19.65811966;45;86;75;21.84466019;41.74757282;36.40776699;524;15;5;96.32352941;2.757352941;0.919117647;CADRE_EN_MASSE;OUVRIER_EN_MASSE
MORLHON-LE-HAUT;12159;0;0;0;;0;8;-8;0;;1080;-1080;0;19243;19243;0;0;0;0;0;0;#DIV/0!;6.5;0;6.5;41.82776801;42;569;244;607;409;19243;238;36;167;36;84.93723849;15.06276151;15.06276151;69.87447699;15.06276151;20;60;85;12.12121212;36.36363636;51.51515152;607;50;20;89.66026588;7.385524372;2.954209749;CADRE_EN_MASSE;OUVRIER_EN_MASSE
CAMBURAT;46053;0;0;0;;0;7;-7;0;;945;-945;0;20530;20530;0;0;0;0;0;0;#DIV/0!;6;0;6;45.67901235;6;405;176;443;296;20530;185;39;127;19;89.72972973;10.27027027;21.08108108;68.64864865;10.27027027;20;50;64;14.92537313;37.31343284;47.76119403;443;10;30;91.7184265;2.070393375;6.211180124;CADRE_EN_MASSE;OUVRIER_EN_MASSE
BONNAC;9060;0;0;0;;0;7;-7;0;;945;-945;0;19033;19033;0;0;0;0;0;0;#DIV/0!;6.5;0;6.5;38.78116343;12;722;312;752;508;19033;280;45;210;25;91.07142857;8.928571429;16.07142857;75;8.928571429;25;65;140;10.86956522;28.26086957;60.86956522;752;10;35;94.35382685;1.254705144;4.391468005;CADRE_EN_MASSE;OUVRIER_EN_MASSE
CATLLAR;66045;0;0;0;;0;7;-7;0;;945;-945;0;19398;19398;0;0;0;0;0;0;#DIV/0!;6;0;6;28.15934066;20;728;342;729;516;19398;205;29;151;24;88.23529412;11.76470588;14.21568627;74.01960784;11.76470588;30;49;78;19.10828025;31.21019108;49.68152866;729;20;25;94.18604651;2.583979328;3.22997416;CADRE_EN_MASSE;OUVRIER_EN_MASSE
PLANIOLES;46221;0;0;0;;0;6;-6;0;;810;-810;0;22718;22718;0;0;0;0;0;0;#DIV/0!;7.5;0;7.5;46.92622951;27;488;229;534;366;22718;229;43;157;29;87.33624454;12.66375546;18.77729258;68.55895197;12.66375546;55;48;74;31.07344633;27.11864407;41.8079096;534;34;15;91.59519726;5.831903945;2.572898799;CADRE_EN_MASSE;OUVRIER_EN_MASSE
SAINT-MAXIMIN;30286;0;0;0;;0;6;-6;0;;810;-810;0;20244;20244;0;0;0;0;0;0;#DIV/0!;5.5;0;5.5;37.16312057;18;705;309;737;499;20244;262;40;187;35;86.64122137;13.35877863;15.26717557;71.3740458;13.35877863;30;75;95;15;37.5;47.5;737;0;30;96.08865711;0;3.911342894;CADRE_EN_MASSE;OUVRIER_EN_MASSE
SAINT-SIFFRET;30299;0;0;0;;0;6;-6;0;;810;-810;0;21717;21717;0;0;0;0;0;0;#DIV/0!;4.5;0;4.5;34.44976077;43;1045;413;982;672;21717;360;70;190;100;72.22222222;27.77777778;19.44444444;52.77777778;27.77777778;60;80;105;24.48979592;32.65306122;42.85714286;982;50;30;92.46704331;4.708097928;2.824858757;CADRE_EN_MASSE;OUVRIER_EN_MASSE
COURNIOU;34086;0;0;0;;0;6;-6;0;;810;-810;0;16990;16990;0;0;0;0;0;0;#DIV/0!;3.5;0;3.5;34.94176373;25;601;293;630;446;16990;210;40;135;35;83.33333333;16.66666667;19.04761905;64.28571429;16.66666667;0;15;125;0;10.71428571;89.28571429;630;45;15;91.30434783;6.52173913;2.173913043;CADRE_EN_MASSE;OUVRIER_EN_MASSE
COS;9099;0;0;0;;0;6;-6;0;;810;-810;0;24590;24590;0;0;0;0;0;0;#DIV/0!;4;0;4;51.23152709;7;406;166;406;275;24590;208;30;168;10;95.19230769;4.807692308;14.42307692;80.76923077;4.807692308;40;65;65;23.52941176;38.23529412;38.23529412;406;25;0;94.19953596;5.800464037;0;CADRE_EN_MASSE;OUVRIER_EN_MASSE
SAUVE;30311;0;0;0;;0;5;-5;0;;675;-675;0;17616;17616;0;0;0;0;0;0;#DIV/0!;4;0;4;39.08629442;142;1970;806;1721;1212;17616;770;186;408;176;77.14285714;22.85714286;24.15584416;52.98701299;22.85714286;70;145;230;15.73033708;32.58426966;51.68539326;1721;70;170;87.76134625;3.569607343;8.669046405;CADRE_EN_MASSE;OUVRIER_EN_MASSE
